,genres,title,genres_encoded
102,['racing'],18 wheels of steel: american long haul,799
103,['action'],Conflict: denied ops,393
104,['action'],Arma: combat operations,393
105,['simulation'],Tycoon city: new york,820
106,['action'],Desperados 2: cooper's revenge,393
107,"['action', 'adventure']",Death to spies,164
108,['action'],Act of war: high treason,393
109,"['simulation', 'strategy']",Rollercoaster tycoon® 3: platinum,819
110,['action'],Act of war: direct action,393
111,['action'],Unreal 2: the awakening,393
112,['action'],Unreal gold,393
113,"['casual', 'indie']",Ninja reflex: steamworks edition,633
114,['action'],Tom clancy's splinter cell®,393
115,['action'],Far cry®,393
116,['action'],Unreal tournament: game of the year edition,393
117,['action'],Tom clancy's rainbow six® vegas,393
118,['simulation'],Silent hunter® iii,820
119,"['casual', 'simulation']",Virtual villagers - the secret city,647
120,['casual'],Mystery p.i.™ - the vegas heist,652
121,['casual'],Luxor,652
122,['casual'],Reaxxion,652
123,['casual'],Little farm,652
124,['casual'],7 wonders ii,652
125,['casual'],Luxor amun rising,652
126,['casual'],Luxor 3,652
127,['simulation'],Petz® horsez® 2,820
128,['casual'],Luxor 2,652
129,"['action', 'adventure']",Rayman raving rabbids™,164
130,['simulation'],Silent hunter®: wolves of the pacific,820
131,['simulation'],Il-2 sturmovik: 1946,820
132,['simulation'],Silent hunter®: wolves of the pacific u-boat missions,820
133,['adventure'],Bone: out from boneville,524
134,['racing'],Midnight outlaw: 6 hours to sunup,799
135,['adventure'],Bone: the great cow race,524
136,['racing'],Sprint cars road to knoxville,799
137,['simulation'],Ride! carnival tycoon,820
138,['casual'],Mahjongg investigations: under suspicion,652
139,['adventure'],Dracula origin,524
140,['sports'],Beijing 2008™ - the official video game of the olympic games,827
141,"['adventure', 'rpg']",Sherlock holmes - nemesis,514
142,"['adventure', 'indie']",Eternity's child,504
143,"['simulation', 'strategy']",Pacific storm allies,819
144,"['action', 'indie']",Tank universal,345
145,['racing'],Flatout: ultimate carnage,799
146,['adventure'],Oddworld: abe's exoddus®,524
147,['adventure'],Oddworld: abe's oddysee®,524
148,['racing'],Gtr evolution expansion pack for race 07,799
149,['strategy'],X-com: enforcer,838
150,['strategy'],X-com: apocalypse,838
151,['strategy'],X-com: ufo defense,838
152,"['action', 'rpg']",S.t.a.l.k.e.r.: clear sky,376
153,['action'],Crysis warhead®,393
154,['action'],Crysis,393
155,['strategy'],X-com: interceptor,838
156,"['action', 'rpg']",The witcher: enhanced edition director's cut,376
157,['indie'],Multiwinia,777
158,['racing'],Stcc - the game 1 - expansion pack for race 07,799
159,"['strategy', 'simulation']",Children of the nile: alexandria,837
160,['strategy'],Sid meier's civilization iv: colonization,838
161,['action'],Tom clancy's rainbow six® 3 gold,393
162,"['action', 'adventure']",Lego batman,164
163,"['simulation', 'strategy']",City life 2008,819
164,"['rpg', 'strategy']",Hinterland,811
165,['action'],Brothers in arms: hell's highway™,393
166,"['indie', 'casual']",Gravitron 2,722
167,['racing'],Xpand rally xtreme,799
168,['strategy'],Heroes of might &amp; magic v: hammers of fate,838
169,['action'],Brothers in arms: earned in blood™,393
170,['strategy'],Heroes of might &amp; magic v: tribes of the east,838
171,['strategy'],The settlers®: rise of an empire gold edition,838
172,['casual'],Brain spa,652
173,['action'],The sum of all fears,393
174,['casual'],Peggle™ nights,652
175,['indie'],World of goo,777
176,"['action', 'simulation', 'strategy']",X3: terran conflict,381
177,['action'],Mare nostrum,393
178,"['casual', 'indie']",Spectraball,633
179,"['indie', 'casual', 'sports']",Galactic bowling,721
180,"['action', 'adventure']",Bully: scholarship edition,164
181,['action'],Far cry® 2: fortune's edition,393
182,"['action', 'indie', 'strategy']",Space trader: merchant marine,344
183,['simulation'],Prr wagon pack 01,820
184,['simulation'],"Class 421 london south east ""jaffa cake""",820
185,['simulation'],Atsf wagon pack 01,820
186,['simulation'],Gp20 union pacific add-on livery,820
187,['simulation'],Uk van wagon pack,820
188,['simulation'],Csx sd70mac add-on livery,820
189,['simulation'],Csx es44ac add-on livery,820
190,['action'],Saints row 2,393
191,['action'],Dead space,393
192,['rpg'],Rise of the argonauts,813
193,"['action', 'adventure']",Mirror's edge™,164
194,"['indie', 'strategy']",Defense grid: the awakening,776
195,['action'],F.e.a.r. 2: project origin,393
196,"['strategy', 'indie']",Harvest: massive encounter,834
197,"['indie', 'strategy']",Mayhem intergalactic,776
198,"['action', 'indie']",Larva mortus,345
199,['strategy'],Knights of honor,838
200,"['action', 'adventure', 'strategy']",Ceville,163
201,['strategy'],Empire: total war™ - special forces units &amp; bonus content,838
202,['action'],Watchmen: the end is nigh,393
203,"['action', 'adventure', 'indie']",Penumbra overture,138
204,['action'],Unreal tournament 3 black,393
205,['rpg'],Drakensang,813
206,"['casual', 'strategy']",Age of booty™,651
207,"['indie', 'simulation']",The graveyard,771
208,['racing'],Burnout paradise: the ultimate box,799
209,['action'],Zombie master,393
210,"['action', 'indie']",The maw,345
211,"['action', 'indie']",The maw: river redirect,345
212,"['action', 'indie']",The maw: brute force,345
213,"['casual', 'indie']",Obulis,633
214,['indie'],Space giraffe,777
215,"['simulation', 'strategy']",Codename: panzers - cold war,819
216,['casual'],Escape rosecliff island,652
217,"['rpg', 'massively multiplayer']",Guild wars nightfall®,805
218,"['rpg', 'massively multiplayer']",Guild wars® game of the year edition,805
219,"['rpg', 'massively multiplayer']",Guild wars factions®,805
220,"['massively multiplayer', 'rpg']",Guild wars trilogy,782
221,['casual'],Puzzle kingdoms,652
222,['casual'],Samantha swift and the golden touch,652
223,['rpg'],Two worlds epic edition,813
224,['strategy'],Helldorado,838
225,"['action', 'adventure', 'rpg']",X-blades,156
226,"['action', 'indie']",Zeno clash,345
227,['indie'],The maw: speeder lane,777
228,"['rpg', 'strategy']",King's bounty: the legend,811
229,"['casual', 'simulation']",Virtual families,647
230,['racing'],Death track®: resurrection,799
231,"['rpg', 'strategy']",Freedom force vs. the third reich,811
232,"['rpg', 'strategy']",Freedom force,811
233,"['indie', 'simulation', 'strategy']",Light of altair,770
234,"['action', 'simulation']",Darkest hour: europe '44-'45,382
235,"['action', 'adventure']",Prototype™,164
236,"['adventure', 'indie']",Blueberry garden,504
237,['strategy'],Port royale 2,838
238,['rpg'],The elder scrolls iv: oblivion® game of the year edition,813
239,['rpg'],The elder scrolls iii: morrowind® game of the year edition,813
240,['adventure'],Ankh 2: heart of osiris,524
241,['simulation'],Armored fist 3,820
242,['simulation'],Mig-29 fulcrum,820
243,['strategy'],Bc kings,838
244,['action'],Call of juarez®: bound in blood,393
245,['adventure'],Nancy drew®: legend of the crystal skull,524
246,['adventure'],Nancy drew®: the creature of kapu cave,524
247,['adventure'],Nancy drew®: the phantom of venice,524
248,['adventure'],Nancy drew®: the white wolf of icicle creek,524
249,"['casual', 'indie']",Brainpipe: a plunge to unhumanity,633
250,"['simulation', 'sports']",Hunting unlimited 2010,817
251,['adventure'],Tales of monkey island complete pack,524
252,['action'],Street fighter® iv,393
253,"['action', 'adventure', 'racing', 'simulation', 'strategy']",Thrillville®: off the rails™,149
254,['adventure'],Indiana jones® and the fate of atlantis™,524
255,['action'],Armed and dangerous®,393
256,['action'],"Star wars: battlefront 2 (classic, 2005)",393
257,['adventure'],Indiana jones® and the last crusade™,524
258,"['action', 'adventure']",Lego® indiana jones™: the original adventures,164
259,['adventure'],The secret of monkey island: special edition,524
260,['strategy'],Warfare,838
261,"['action', 'racing']",Clutch,367
262,['adventure'],Nancy drew®: ransom of the seven ships,524
263,['sports'],3d ultra™ minigolf adventures,827
264,['adventure'],King's quest™ collection,524
265,['action'],Timeshift™,393
266,['adventure'],Space quest™ collection,524
267,['action'],Killing floor outbreak character pack,393
268,"['action', 'casual']",Aces of the galaxy™,249
269,"['simulation', 'strategy']",Tropico reloaded,819
270,['casual'],Mystery p.i. - lost in los angeles,652
271,['action'],Bionic commando: rearmed,393
272,"['action', 'adventure']",Bionic commando,164
273,['action'],Watchmen: the end is nigh part 2,393
274,"['action', 'indie']",Foreign legion: buckets of blood,345
275,"['adventure', 'rpg']",Star wars™ - knights of the old republic™,514
276,"['indie', 'casual']",Osmos,722
277,['rpg'],Fallout 2: a post nuclear role playing game,813
278,['strategy'],Fallout tactics: brotherhood of steel,838
279,['action'],Kingpin — life of crime,393
280,['adventure'],Tales of monkey island complete pack: chapter 2 - the siege of spinner cay,524
281,['casual'],Jewel quest pack,652
282,['casual'],Mahjong quest collection,652
283,"['adventure', 'indie']","Time gentlemen, please! and ben there, dan that! special edition  double pack",504
284,['action'],Tom clancy's splinter cell chaos theory®,393
285,"['action', 'racing']",Crash time 2,367
286,['strategy'],Xiii century – gold edition,838
287,['simulation'],World of zoo,820
288,['simulation'],18 wheels of steel: extreme trucker,820
289,"['action', 'adventure']",Mini ninjas,164
290,"['adventure', 'casual', 'indie']",Windosill,440
291,['simulation'],Train simulator: colton &amp; northern route add-on,820
292,"['adventure', 'casual']",Midnight mysteries,453
293,['adventure'],Tales of monkey island complete pack: chapter 3 - lair of the leviathan,524
294,['action'],Joint operations: combined arms gold,393
295,['simulation'],Train simulator: us loco &amp; asset pack,820
296,['simulation'],Dinertown tycoon,820
297,['simulation'],Train simulator: european loco &amp; asset pack,820
298,['rpg'],Risen,813
299,['casual'],Flora's fruit farm,652
300,['strategy'],Empire: total war™ - the warpath campaign,838
301,"['adventure', 'indie']",Machinarium,504
302,['action'],Medal of honor: airborne,393
303,['racing'],Need for speed: shift,799
304,['rpg'],Torchlight,813
305,['strategy'],Command &amp; conquer: red alert 3 - uprising,838
306,['strategy'],The stronghold collection,838
307,['strategy'],East india company: privateer,838
308,['action'],Painkiller: resurrection,393
309,"['rpg', 'strategy']",Spellforce 2 - anniversary edition,811
310,['adventure'],Secret files: tunguska,524
311,['strategy'],Rush for berlin gold,838
312,['adventure'],Tales of monkey island complete pack: chapter 4 - the trial and execution of guybrush threepwood,524
313,['strategy'],Men of war: red tide,838
314,"['action', 'indie']",Hammerfight,345
315,"['action', 'rpg']",Spellforce - platinum edition,376
316,['strategy'],Massive assault: phantom renaissance,838
317,['strategy'],Massive assault,838
318,"['action', 'indie']",Serious sam hd: the first encounter,345
319,['adventure'],Secret files 2: puritas cordis,524
320,['rpg'],Dragon age: origins,813
321,"['action', 'rpg', 'indie']",Aztaka,369
322,"['indie', 'casual']",Magnetis,722
323,['strategy'],For the glory: a europa universalis game,838
324,['action'],Call of duty®: modern warfare® 2,393
325,['adventure'],Lego® star wars™ - the complete saga,524
326,['rpg'],Overlord™,813
327,['rpg'],Overlord™: raising hell,813
328,['strategy'],Command &amp; conquer 3: tiberium wars,838
329,"['indie', 'casual']",Yumsters 2: around the world,722
330,['strategy'],Command &amp; conquer 3: kane's wrath,838
331,"['indie', 'simulation', 'strategy']",Gratuitous space battles,770
332,['simulation'],Wings of prey,820
333,"['action', 'adventure', 'rpg']",The bard's tale,156
334,['action'],Defence alliance 2,393
335,['action'],Star wars™ - the force unleashed™ ultimate sith edition,393
336,['rpg'],Fallout 3: game of the year edition,813
337,"['strategy', 'indie', 'simulation']",Gratuitous space battles: the tribe,833
338,['simulation'],Build-a-lot,820
339,['simulation'],Build-a-lot 2: town of the year,820
340,['simulation'],Build-a-lot 3: passport to europe,820
341,"['casual', 'simulation']",Coconut queen,647
342,['casual'],Roogoo,652
343,"['action', 'adventure']",Devil may cry 4,164
344,"['action', 'indie', 'rpg']",Avencast: rise of the mage,332
345,['simulation'],Build-a-lot 4: power source,820
346,"['action', 'free to play', 'indie']","Pirates, vikings, and knights ii",279
347,['casual'],Farm frenzy 2,652
348,['casual'],Farm frenzy 3: american pie,652
349,['casual'],Farm frenzy 3,652
350,['casual'],Farm frenzy,652
351,['casual'],Farm frenzy: pizza party,652
352,['casual'],Cake mania main street™,652
353,"['strategy', 'casual']",Westward® iv: all aboard,829
354,"['adventure', 'casual']",Iron roses,453
355,['strategy'],Ufo: extraterrestrials gold,838
356,['adventure'],Lego® indiana jones™ 2: the adventure continues,524
357,['sports'],Vancouver 2010™ - the official video game of the olympic winter games,827
358,"['action', 'indie', 'racing']",Super laser  racer,324
359,['strategy'],Hearts of iron iii: soviet infantry pack dlc,838
360,['action'],Necrovision: lost company,393
361,['casual'],Cradle of persia,652
362,['action'],Aliens vs. predator swarm map pack,393
363,"['action', 'indie']",Serious sam classic: the first encounter,345
364,['simulation'],Train simulator: fort kent to eagle lake route add-on,820
365,"['action', 'rpg']",Mount &amp; blade: warband,376
366,['action'],Coniclysm,393
367,"['action', 'indie']",Plain sight,345
368,['action'],Lead and gold: gangs of the wild west,393
369,['action'],Grand theft auto: episodes from liberty city,393
370,"['action', 'adventure']",Dark void™ zero,164
371,['indie'],Fortix,777
372,"['action', 'casual', 'indie']",Beat hazard,232
373,['adventure'],Sam &amp; max: the devil’s playhouse,524
374,"['simulation', 'strategy']",M.u.d. tv,819
375,['simulation'],Wings of luftwaffe add-on,820
376,"['adventure', 'indie']",The misadventures of p.b. winterbottom,504
377,['action'],Aquanox 2: revelation,393
378,['action'],Aquanox,393
379,"['casual', 'indie']",Fluttabyes,633
380,['casual'],Hidden expedition: titanic,652
381,"['casual', 'indie']",Hidden expedition: amazon,633
382,['strategy'],Napoleon: total war™ - coalition battle pack,838
383,['casual'],Fitness dash™,652
384,['casual'],Gemini lost™,652
385,['casual'],Dinertown detective agency™,652
386,['casual'],Hotel dash™ suite success™,652
387,['casual'],Nightshift legacy: the jaguar's eye™,652
388,['casual'],The nightshift code™,652
389,['casual'],Trijinx: a kristine kross mystery™,652
390,['casual'],Valerie porter and the scarlet scandal™,652
391,"['action', 'adventure', 'casual']",Biozone,70
392,"['action', 'indie']",Iron grip: warlord,345
393,"['action', 'adventure']",Rocket knight,164
394,['indie'],Max and the magic marker,777
395,"['action', 'indie']",Flight of the icarus,345
396,['casual'],Puzzler world,652
397,"['action', 'adventure']",Prince of persia: the forgotten sands™ digital deluxe edition,164
398,"['casual', 'indie']",Ziro,633
399,['action'],Altered beast™,393
400,['action'],Comix zone™,393
401,"['action', 'adventure', 'casual', 'rpg']",Sega mega drive and genesis classics,66
402,['action'],Golden axe™,393
403,['action'],Ecco the dolphin™,393
404,['strategy'],Gain ground™,838
405,['action'],Shinobi™ iii: return of the ninja master,393
406,['action'],Crack down™,393
407,['action'],Vectorman™,393
408,['action'],Shadow dancer™,393
409,['action'],Space harrier™ ii,393
410,"['action', 'rpg']",Alpha protocol™,376
411,['action'],Alien breed: impact,393
412,['rpg'],Fallout 3 - point lookout,813
413,"['strategy', 'indie']",Defense grid: resurgence map pack 1,834
414,['rpg'],Fallout 3 - mothership zeta,813
415,['rpg'],Fallout 3 - broken steel,813
416,['rpg'],Fallout 3 - the pitt,813
417,['action'],Alien swarm,393
418,['rpg'],Fallout 3 - operation anchorage,813
419,"['simulation', 'strategy']",Simcity™ 4 deluxe edition,819
420,"['strategy', 'rpg']",Disciples iii - renaissance steam special edition,836
421,"['casual', 'indie']",Tidalis,633
422,"['action', 'casual', 'indie']",Razor2: hidden skies,232
423,['strategy'],The settlers 7: uncharted land map pack,838
424,['rpg'],Dimensity,813
425,['action'],Kane &amp; lynch 2: dog days,393
426,"['simulation', 'strategy']",The guild ii renaissance,819
427,['strategy'],Hearts of iron iii dlc: german ii spritepack,838
428,['simulation'],Trainz simulator dlc: blue comet,820
429,['strategy'],Fantasy wars,838
430,['action'],Mafia ii,393
431,['simulation'],Train simulator: network southeast class 47 loco add-on,820
432,"['rpg', 'casual']",Puzzle quest 2,801
433,['action'],Burn zombie burn!,393
434,['indie'],Madballs b*d*i clan skins,777
435,['indie'],Madballs scorched evolution skin rollup,777
436,['indie'],Madballs bdi evolution skin rollup,777
437,['indie'],Madballs holiday skin rollup,777
438,['strategy'],Victoria i complete,838
439,['simulation'],Ship simulator extremes,820
440,['strategy'],Worms reloaded,838
441,"['indie', 'simulation', 'strategy']",Making history ii: the war of the world,770
442,"['action', 'simulation', 'strategy']",Arma 2: british armed forces,381
443,['strategy'],Victoria ii,838
444,['indie'],Madballs scorched clan skins,777
445,['action'],Kane &amp; lynch 2: the doggie bag,393
446,['action'],Kane &amp; lynch 2: multiplayer masks pack,393
447,['simulation'],Trainz: classic cabon city,820
448,['action'],Kane &amp; lynch 2: alliance weapon pack,393
449,['strategy'],Cossacks: back to war,838
450,['adventure'],Broken sword: director's cut,524
451,['casual'],Chime,652
452,['action'],Mafia ii dlc: jimmy's vendetta,393
453,['action'],Sniper: ghost warrior - map pack,393
454,"['action', 'indie']",Vvvvvv,345
455,['strategy'],The settlers 7: conquest - the empire expansion dlc,838
456,"['action', 'adventure', 'indie']",Amnesia: the dark descent,138
457,"['rpg', 'indie']",Recettear: an item shop's tale,804
458,"['action', 'casual', 'indie']",Swarm arena,232
459,"['action', 'simulation']",Super thunder blade™,382
460,['action'],Galaxy force ii™,393
461,['simulation'],Hacker evolution,820
462,"['indie', 'simulation']",Hacker evolution: untold,771
463,"['casual', 'indie']",Faerie solitaire,633
464,['strategy'],Patrician iv - steam special edition,838
465,['action'],Bonanza bros.™,393
466,"['rpg', 'strategy']",King's bounty: crossworlds,811
467,['simulation'],Train simulator: green &amp; gold hst dmu add-on,820
468,['strategy'],Sid meier's civilization® v,838
469,['strategy'],Commander: conquest of the americas - colonial navy,838
470,"['action', 'indie']",Serious sam classic: the second encounter,345
471,"['indie', 'strategy']",Star ruler,776
472,"['action', 'adventure']",Blade kitten,164
473,['action'],Alien breed 2: assault,393
474,['action'],Serious sam hd: gold edition,393
475,"['action', 'adventure']",Darksiders™,164
476,"['simulation', 'strategy']",X: beyond the frontier,819
477,['strategy'],The kings' crusade,838
478,"['action', 'rpg', 'massively multiplayer']",Guild wars: eye of the north®,370
479,"['simulation', 'strategy']",X: tension,819
480,"['rpg', 'strategy']",Age of wonders ii: the wizard's throne,811
481,"['adventure', 'casual', 'simulation']",Governor of poker 2,451
482,"['adventure', 'casual', 'indie', 'simulation']",Governor of poker 2 - premium edition,435
483,"['rpg', 'strategy']",Age of wonders shadow magic,811
484,"['rpg', 'strategy']",Age of wonders,811
485,['action'],Medal of honor™,393
486,"['indie', 'rpg', 'strategy']",Grotesque tactics: evil heroes,761
487,"['action', 'adventure']",Lost planet® 2,164
488,"['adventure', 'casual', 'indie']",Doc clock: the toasted sandwich of time,440
489,"['action', 'rpg']",Fallout: new vegas,376
490,"['action', 'casual', 'indie']",The polynomial - space of the music,232
491,"['adventure', 'indie']",Puzzle bots,504
492,"['indie', 'racing']",Nimbus,750
493,['strategy'],Civilization v - babylon (nebuchadnezzar ii),838
494,"['action', 'indie', 'rpg']",Deathspank,332
495,"['action', 'simulation']",Virtua fighter™ 2,382
496,['casual'],Columns™ iii,652
497,['rpg'],Sword of vermilion™,813
498,['action'],Golden axe™ ii,393
499,"['action', 'adventure']",Sonic the hedgehog,164
500,['adventure'],Ecco™: the tides of time,524
501,['action'],Bio-hazard battle™,393
502,['action'],Alien storm,393
503,"['action', 'indie']",Shank,345
504,"['action', 'adventure', 'indie']",The ball,138
505,['action'],Star wars™: the force unleashed™ ii,393
506,"['action', 'casual']",Flight control hd,249
507,"['rpg', 'simulation', 'strategy']",Patrician iii,808
508,"['action', 'casual', 'indie']",Bit.trip beat,232
509,"['simulation', 'strategy']",Theatre of war 2 - battle for caen,819
510,['casual'],Woody two-legs: attack of the zombie pirates,652
511,"['adventure', 'indie']",Clones,504
512,['strategy'],Victoria ii: interwar spritepack,838
513,['action'],Front mission evolved: wanzer pack 2,393
514,['action'],Pound of ground,393
515,['casual'],Pat &amp; mat,652
516,['adventure'],Alternativa,524
517,"['casual', 'indie']",Fish fillets 2,633
518,"['strategy', 'indie']",Archon classic,834
519,['action'],Call of duty®: black ops,393
520,"['indie', 'casual']",Rhythm zone tornado visualizer dlc,722
521,"['casual', 'indie']",Arcadia,633
522,"['action', 'adventure', 'strategy']",Oddworld: munch's oddysee,163
523,"['indie', 'casual']",Rhythm zone dj table visualizer dlc,722
524,"['action', 'adventure', 'strategy']",Oddworld: stranger's wrath hd,163
525,"['casual', 'indie']",Clickr,633
526,['adventure'],Back to the future: the game,524
527,['action'],Grand theft auto iii,393
528,['action'],Grand theft auto: san andreas,393
529,"['action', 'adventure']",Lara croft gol: raziel and kain character pack,164
530,"['action', 'adventure']",Lara croft gol: things that go boom - challenge pack 2,164
531,"['action', 'adventure']",Lara croft gol: hazardous reunion - challenge pack 3,164
532,"['action', 'adventure']",Lara croft gol: all the trappings - challenge pack 1,164
533,['action'],Grand theft auto: vice city,393
534,"['action', 'indie']",Zeit²,345
535,"['action', 'indie']",A.r.e.s.: extinction agenda,345
536,"['action', 'indie', 'strategy']",Apox,344
537,['action'],Dead space™ 2,393
538,"['adventure', 'casual']",Drawn®: the painted tower,453
539,['adventure'],Kaptain brawe: a brawe new world,524
540,"['action', 'strategy', 'indie', 'sports']",Monday night combat,388
541,"['action', 'adventure', 'casual']",Luxor: 5th passage,70
542,['action'],Alien soldier,393
543,['rpg'],Shining in the darkness,813
544,['rpg'],Light crusader,813
545,['rpg'],Landstalker: the treasures of king nole,813
546,['action'],Gunstar heroes,393
547,['adventure'],Toejam &amp; earl,524
548,['action'],Streets of rage 2,393
549,"['action', 'adventure']",Sonic the hedgehog 2,164
550,['action'],Streets of rage,393
551,['rpg'],Shining force ii,813
552,['rpg'],Shining force,813
553,['simulation'],The sims™ 3,820
554,['simulation'],Ship simulator extremes: sigita pack,820
555,['simulation'],The sims™ 3 fast lane stuff,820
556,['simulation'],The sims™ 3 world adventures,820
557,['simulation'],The sims™ 3 late night,820
558,['simulation'],The sims™ 3 ambitions,820
559,['simulation'],The sims™ 3 high-end loft stuff,820
560,"['casual', 'indie']",Trino,633
561,['casual'],Mishap 2: an intentional haunting - collector's edition,652
562,['simulation'],The sims™ 3 outdoor living stuff,820
563,"['action', 'casual', 'indie']",Who's that flying?!,232
564,"['adventure', 'casual']",Myst: masterpiece edition,453
565,['strategy'],Guardians of graxia: elves &amp; dwarves,838
566,['rpg'],Two worlds ii hd,813
567,['casual'],You don’t know jack®,652
568,['racing'],Test drive unlimited 2,799
569,['rpg'],King arthur: the druids,813
570,"['strategy', 'indie', 'simulation']",Gratuitous space battles: galactic conquest,833
571,['strategy'],The kings' crusade: new allies,838
572,"['rpg', 'strategy']",Dungeons - steam special edition,811
573,"['indie', 'strategy']",Ai war: light of the spire,776
