,genres,title,item_id
2185798,"['Action', 'Simulation']",Darkest Hour: Europe '44-'45,32430
2185942,"['Action', 'Adventure']",Prototype™,24980
2186158,"['Adventure', 'Indie']",Blueberry Garden,40100
2186334,['Strategy'],Port Royale 2,32470
2186434,['Strategy'],Victoria II: A House Divided,24780
2186479,"['Action', 'Casual', 'Indie']",Titan Attacks!,6120
2186485,['Simulation'],MiG-29 Fulcrum,70300
2186581,['Strategy'],BC Kings,32500
2186677,['Action'],Call of Juarez®: Bound in Blood,72200
2186717,['Adventure'],Nancy Drew®: Legend of the Crystal Skull,40800
2188829,['Adventure'],Nancy Drew®: The Creature of Kapu Cave,78000
2188841,['Adventure'],Nancy Drew®: The Phantom of Venice,21100
2189011,['Adventure'],Nancy Drew®: The White Wolf of Icicle Creek,92800
2189083,"['Casual', 'Indie']",BRAINPIPE: A Plunge to Unhumanity,95300
2189092,"['Simulation', 'Sports']",Hunting Unlimited 2010,70000
2190626,['Adventure'],Indiana Jones® and the Fate of Atlantis™,21090
2190738,['Adventure'],Indiana Jones® and the Last Crusade™,16450
2190755,"['Action', 'Adventure']",LEGO® Indiana Jones™: The Original Adventures,97000
2190791,['Adventure'],The Secret of Monkey Island: Special Edition,49600
2190917,['Strategy'],Warfare,44200
2190920,"['Action', 'Racing']",Clutch,32800
2191160,['Adventure'],Nancy Drew®: Ransom of the Seven Ships,107200
2191190,['Adventure'],King's Quest™ Collection,3830
2191310,['Action'],TimeShift™,65800
2192590,['Adventure'],Space Quest™ Collection,35720
2193318,['Action'],Killing Floor Outbreak Character Pack,94200
2193336,"['Action', 'Casual']",Aces of the Galaxy™,41070
2194148,"['Simulation', 'Strategy']",Tropico Reloaded,201570
2194166,['Casual'],Mystery P.I. - Lost in Los Angeles,202200
2194194,['Action'],Bionic Commando: Rearmed,203810
2194386,"['Indie', 'Casual']",Osmos,203770
2195336,['RPG'],Fallout 2: A Post Nuclear Role Playing Game,205730
2195339,['Action'],Kingpin — Life of Crime,207170
2195388,"['Adventure', 'Casual', 'Indie']",Paradigm Shift,207570
2195396,"['Action', 'Adventure']",Mini Ninjas Demo,207250
2195431,['Adventure'],Tales of Monkey Island Complete Pack: Chapter 2 - The Siege of Spinner Cay,102600
2195536,['Casual'],Jewel Quest Pack,208580
2195866,['Casual'],Mahjong Quest Collection,209370
2195881,"['Adventure', 'Indie']","Time Gentlemen, Please! and Ben There, Dan That! Special Edition  Double Pack",29180
2195891,['Action'],Tom Clancy's Splinter Cell Chaos Theory®,209690
2195894,['Strategy'],XIII Century – Gold Edition,1510
2195971,['Simulation'],World of Zoo,1520
2196067,"['Action', 'Adventure']",Mini Ninjas,15560
2196079,['Casual'],Freeze Tag Fun Pack #2,209830
2196091,['Casual'],Freeze Tag Fun Pack #1,105800
2196095,"['Adventure', 'Casual', 'Indie']",Windosill,207610
2200342,['Simulation'],Train Simulator: Colton &amp; Northern Route Add-On,211440
2200348,['Adventure'],Tales of Monkey Island Complete Pack: Chapter 3 - Lair of the Leviathan,208140
2200478,['Action'],Joint Operations: Combined Arms Gold,205350
2200550,['Simulation'],Train Simulator: US Loco &amp; Asset Pack,32370
2201125,['Simulation'],DinerTown Tycoon,200260
2203197,['Simulation'],Train Simulator: European Loco &amp; Asset Pack,212680
2208951,['RPG'],Risen,108800
2209335,['Strategy'],Empire: Total War™ - The Warpath Campaign,12750
2209435,"['Adventure', 'Indie']",Machinarium,205910
2209491,['Action'],Medal of Honor: Airborne,214830
2209539,['Racing'],Need for Speed: Shift,35140
2210264,['RPG'],Torchlight,98800
2210313,['Strategy'],Command &amp; Conquer: Red Alert 3 - Uprising,214340
2210329,['Strategy'],East India Company: Privateer,204630
2210385,"['RPG', 'Strategy']",SpellForce 2 - Anniversary Edition,65300
2210425,['Adventure'],Secret Files: Tunguska,204300
2216703,['Strategy'],Rush for Berlin Gold,209540
2216739,['Adventure'],Tales of Monkey Island Complete Pack: Chapter 4 - The Trial and Execution of Guybrush Threepwood,200710
2220019,['Strategy'],Men of War: Red Tide,206440
2220383,"['Action', 'Indie']",Hammerfight,220780
2220671,['Strategy'],Massive Assault,221260
2221229,"['Casual', 'Simulation']",Rocksmith™,91600
2221427,"['Action', 'Indie']",Serious Sam HD: The First Encounter,214560
2222048,['Adventure'],Secret Files 2: Puritas Cordis,218680
2223005,['RPG'],Dragon Age: Origins,219150
2227869,"['Indie', 'Casual']",Magnetis,4920
2229724,['Strategy'],For The Glory: A Europa Universalis Game,57690
2230207,['Action'],Call of Duty®: Modern Warfare® 2,218740
2230235,['Adventure'],LEGO® Star Wars™ - The Complete Saga,220460
2230237,['RPG'],Overlord™,61600
2230246,['RPG'],Overlord™: Raising Hell,203140
2233756,['Strategy'],Command &amp; Conquer 3: Tiberium Wars,205930
2233879,['Strategy'],Command &amp; Conquer 3: Kane's Wrath,221640
2236959,['Simulation'],Wings of Prey,201790
2238219,['Action'],STAR WARS™ - The Force Unleashed™ Ultimate Sith Edition,227320
2238240,['Casual'],Drusilla Dreams,220700
2238268,['RPG'],Fallout 3: Game of the Year Edition,219680
2238338,"['Strategy', 'Indie', 'Simulation']",Gratuitous Space Battles: The Tribe,200900
2238374,['Simulation'],Build-A-Lot,215710
2238377,['Simulation'],Build-A-Lot 2: Town of the Year,219890
2238988,['Simulation'],Build-A-Lot 3: Passport to Europe,99910
2239012,"['Casual', 'Simulation']",Coconut Queen,208090
2267040,['Casual'],Roogoo,212070
2267845,"['Action', 'Free to Play', 'Indie']","Pirates, Vikings, and Knights II",265630
2273089,['Casual'],Farm Frenzy 3: American Pie,226320
2273791,['Casual'],Farm Frenzy 3,257730
2273841,['Casual'],Farm Frenzy,230980
2273848,['Casual'],Farm Frenzy: Pizza Party,204240
2273897,['Casual'],Cake Mania Main Street™,225260
2274449,"['Strategy', 'Casual']",Westward® IV: All Aboard,233150
2274519,"['Adventure', 'Casual']",Iron Roses,218060
2274669,['Strategy'],UFO: Extraterrestrials Gold,228260
2274681,['Adventure'],LEGO® Indiana Jones™ 2: The Adventure Continues,203160
2281449,['Sports'],Vancouver 2010™ - The Official Video Game of the Olympic Winter Games,225420
2281476,"['Action', 'Indie', 'Racing']",Super Laser  Racer,234490
2281491,['Strategy'],Hearts of Iron III: Soviet Infantry Pack DLC,233450
2284725,['Action'],NecroVisioN: Lost Company,227080
2284746,['Casual'],Cradle of Persia,93200
2284752,['Action'],Aliens vs. Predator Swarm Map Pack,203210
2284764,"['Action', 'Indie']",Serious Sam Classic: The First Encounter,219190
2284773,"['Action', 'RPG']",Mount &amp; Blade: Warband,233550
2284774,"['Action', 'Indie']",Plain Sight,220900
2284782,['Action'],Lead and Gold: Gangs of the Wild West,44350
2285097,['Action'],Grand Theft Auto: Episodes from Liberty City,230700
2285109,"['Action', 'Adventure']",Dark Void™ Zero,210770
2286765,['Indie'],Fortix,235250
2286781,"['Action', 'Casual', 'Indie']",Beat Hazard,233720
2292032,['Adventure'],Sam &amp; Max: The Devil’s Playhouse,224760
2292528,"['Simulation', 'Strategy']",M.U.D. TV,234190
2292868,"['Adventure', 'Indie']",The Misadventures of P.B. Winterbottom,222730
2293093,['Action'],AquaNox,233980
2293141,['Casual'],Hidden Expedition: Titanic,206190
2294275,"['Casual', 'Indie']",Hidden Expedition: Amazon,231160
2294339,['Strategy'],Napoleon: Total War™ - Coalition Battle Pack,242820
2294375,['Casual'],Fitness Dash™,233250
2296279,['Casual'],Nightshift Legacy: The Jaguar's Eye™,201420
2296289,['Casual'],TriJinx: A Kristine Kross Mystery™,98200
2296399,['Casual'],Valerie Porter and the Scarlet Scandal™,239450
2296495,"['Action', 'Adventure', 'Casual']",Biozone,244770
2296543,"['Action', 'Indie']",Iron Grip: Warlord,245150
2296545,"['Action', 'Adventure']",Rocket Knight,241320
2296551,['Indie'],Max and the Magic Marker,218820
2296583,"['Action', 'Indie']",Flight of the Icarus,234390
2296695,"['Action', 'Adventure']",Prince of Persia: The Forgotten Sands™ Digital Deluxe Edition,247020
2296765,"['Casual', 'Indie']",Ziro,214770
2296908,['Action'],Altered Beast™,225080
2297293,['Action'],Comix Zone™,239030
2299141,"['Action', 'Adventure', 'Casual', 'RPG']",SEGA Mega Drive and Genesis Classics,231040
2299155,['Action'],Golden Axe™,239070
2299285,['Action'],Ecco the Dolphin™,248310
2299348,['Strategy'],Gain Ground™,248650
2299360,['Action'],Crack Down™,222940
2299390,['Action'],VectorMan™,47790
2299690,['Action'],Shadow Dancer™,249650
2299702,['Action'],Space Harrier™ II,239820
2302537,"['Action', 'RPG']",Alpha Protocol™,225280
2302547,['Action'],Alien Breed: Impact,241240
2302565,['RPG'],Fallout 3 - Point Lookout,238320
2303908,"['Strategy', 'Indie']",Defense Grid: Resurgence Map Pack 1,233840
2303940,['RPG'],Fallout 3 - Mothership Zeta,239200
2304050,['RPG'],Fallout 3 - Broken Steel,250180
2304302,['RPG'],Fallout 3 - The Pitt,250260
2304417,['RPG'],Fallout 3 - Operation Anchorage,111900
2304431,"['Simulation', 'Strategy']",SimCity™ 4 Deluxe Edition,251470
2304455,"['Strategy', 'RPG']",Disciples III - Renaissance Steam Special Edition,251850
2304458,"['Casual', 'Indie']",Tidalis,251990
2304536,['RPG'],Dimensity,252410
2304560,['Action'],Kane &amp; Lynch 2: Dog Days,252630
2304572,"['Simulation', 'Strategy']",The Guild II Renaissance,253030
2304876,['Simulation'],Trainz Simulator DLC: Blue Comet,231310
2304892,['Strategy'],Fantasy Wars,255370
2304897,['Action'],Mafia II,233130
2305365,['Simulation'],Train Simulator: Network Southeast Class 47 Loco Add-On,255520
2305392,"['RPG', 'Casual']",Puzzle Quest 2,258200
2305396,['Action'],Burn Zombie Burn!,247000
2305461,['Indie'],Madballs Scorched Evolution Skin Rollup,42910
2309439,['Indie'],Madballs Holiday Skin Rollup,259060
2309441,['Strategy'],Victoria I Complete,245470
2309574,['Simulation'],Ship Simulator Extremes,259390
2309580,['Strategy'],Worms Reloaded,259430
2309582,"['Indie', 'Simulation', 'Strategy']",Making History II: The War of the World,259530
2309618,['Strategy'],Victoria II,221910
2312658,['Indie'],Madballs Scorched Clan Skins,207750
2312664,['Action'],Kane &amp; Lynch 2: The Doggie Bag,261180
2312898,['Action'],Kane &amp; Lynch 2: Multiplayer Masks Pack,242700
2313094,['Simulation'],Trainz: Classic Cabon City,263760
2313347,['Strategy'],Cossacks: Back to War,264140
2313923,['Adventure'],Broken Sword: Director's Cut,264200
2314415,['Action'],Mafia II DLC: Jimmy's Vendetta,264730
2314425,['Action'],Sniper: Ghost Warrior - Map Pack,227300
2316869,"['Action', 'Indie']",VVVVVV,215530
2316941,['Strategy'],The Settlers 7: Conquest - The Empire Expansion DLC,266110
2316947,"['Action', 'Adventure', 'Indie']",Amnesia: The Dark Descent,266130
2316956,"['Action', 'Simulation']",Super Thunder Blade™,270450
2317055,['Strategy'],Sid Meier's Civilization® V,272890
2317079,['Strategy'],Commander: Conquest of the Americas - Colonial Navy,273070
2317081,"['Action', 'Indie']",Serious Sam Classic: The Second Encounter,274190
2317991,"['Indie', 'Strategy']",Star Ruler,274250
2318003,"['Action', 'Adventure']",Blade Kitten,274310
2318057,"['Simulation', 'Strategy']",X: Beyond the Frontier,48700
2326417,['Strategy'],The Kings' Crusade,278910
2326433,"['Simulation', 'Strategy']",X: Tension,280910
2326436,"['RPG', 'Strategy']",Age of Wonders II: The Wizard's Throne,282440
2327366,"['Adventure', 'Casual', 'Simulation']",Governor of Poker 2,284460
2327381,"['Adventure', 'Casual', 'Indie', 'Simulation']",Governor of Poker 2 - Premium Edition,287980
2327441,"['RPG', 'Strategy']",Age of Wonders Shadow Magic,289760
2327453,"['RPG', 'Strategy']",Age of Wonders,290080
2327589,['Action'],Medal of Honor™,261510
2327595,"['Indie', 'RPG', 'Strategy']",Grotesque Tactics: Evil Heroes,293680
2327597,"['Action', 'Adventure']",Lost Planet® 2,286160
2327839,"['Adventure', 'Casual', 'Indie']",Doc Clock: The Toasted Sandwich of Time,298160
2327875,"['Indie', 'Racing']",Nimbus,2820
2327887,['Strategy'],Civilization V - Babylon (Nebuchadnezzar II),246110
2327890,"['Action', 'Simulation']",Virtua Fighter™ 2,303210
2328112,['Casual'],Columns™ III,8600
2328167,['Action'],Golden Axe™ II,211500
2328545,"['Action', 'Adventure']",Sonic The Hedgehog,63380
2331125,['Action'],Street Fighter X Tekken: Raven (Swap Costume),9900
2331433,"['Casual', 'Simulation']",Rocksmith - Foo Fighters - Times Likes These,9880
2331451,['Action'],Bio-Hazard Battle™,232430
2331691,['Action'],Alien Storm,313690
2331703,"['Action', 'Indie']",Shank,313730
2331787,"['Action', 'Adventure', 'Indie']",The Ball,255420
2331815,['Action'],STAR WARS™: The Force Unleashed™ II,317400
2332053,['Action'],Front Mission Evolved: Wanzer Pack 2,241930
2335680,['Action'],Pound of Ground,275670
2335682,['Casual'],Pat &amp; Mat,305050
2335686,"['Casual', 'Indie']",Fish Fillets 2,24240
2344005,"['Strategy', 'Indie']",Archon Classic,329130
2344014,"['Indie', 'Casual']",Rhythm Zone Tornado Visualizer DLC,308420
2344050,"['Casual', 'Indie']",Arcadia,332070
2344149,"['Indie', 'Casual']",Rhythm Zone DJ Table Visualizer DLC,282070
2345133,"['Casual', 'Indie']",Clickr,335240
2345541,['Adventure'],Back to the Future: The Game,339350
2345550,['Action'],Grand Theft Auto III,304650
2345570,"['Action', 'Adventure']",Lara Croft GoL: Raziel and Kain Character Pack,341720
2345606,"['Action', 'Adventure']",Lara Croft GoL: Things that Go Boom - Challenge Pack 2,255710
2347055,"['Action', 'Adventure']",Lara Croft GoL: All the Trappings - Challenge Pack 1,47780
2347097,['Action'],Grand Theft Auto: Vice City,375820
2347117,"['Action', 'Indie']",A.R.E.S.: Extinction Agenda,385770
2347260,['Action'],Dead Space™ 2,400110
2347262,"['Adventure', 'Casual']",Drawn®: The Painted Tower,404410
2347310,"['Action', 'Adventure', 'Casual']",Luxor: 5th Passage,3920
2347346,['RPG'],Light Crusader,264240
2347354,['Action'],Gunstar Heroes,4560
2348159,['Adventure'],ToeJam &amp; Earl,4570
2348399,['Action'],Streets of Rage 2,4580
2348591,"['Action', 'Adventure']",Sonic The Hedgehog 2,4700
2349113,['Action'],Streets of Rage,4760
2349368,['RPG'],Shining Force,9340
2349397,['Simulation'],The Sims™ 3,9450
2349617,['Simulation'],Ship Simulator Extremes: Sigita Pack,20540
2349671,"['Action', 'Casual', 'Indie']",Who's That Flying?!,2700
2349762,['Strategy'],Guardians of Graxia: Elves &amp; Dwarves,22320
2350002,['RPG'],Two Worlds II HD,3900
2350067,['Racing'],Test Drive Unlimited 2,8800
2350089,['RPG'],King Arthur: The Druids,16810
2350100,['RPG'],Drakensang: The River of Time,47890
2350380,['Action'],Homefront,105450
2351190,"['Casual', 'Indie']",Storage Inc 2,231140
2351211,['Strategy'],"Warhammer 40,000: Dawn of War II - Retribution Ork Race Pack",109600
2353302,['Strategy'],"Warhammer 40,000: Dawn of War II - Retribution Imperial Guard Race Pack",238960
2361558,['Strategy'],"Warhammer 40,000: Dawn of War II - Retribution Eldar Race Pack",230050
2361783,"['Indie', 'Casual']",Dinner Date,213850
2361843,['Strategy'],"Warhammer 40,000: Dawn of War II - Retribution Space Marines Race Pack",244850
2374632,['Simulation'],Cities in Motion: Design Classics,205100
2378130,"['Action', 'Indie', 'Strategy']",Anomaly: Warzone Earth,266010
2378220,"['Strategy', 'RPG']",Dungeons: Into the Dark DLC Pack,7670
2381548,"['Action', 'Indie']",Dino D-Day,8850
2382238,"['Action', 'Casual', 'Indie', 'Strategy']",Sanctum,278360
2382288,['Strategy'],"Warhammer 40,000: Dawn of War II - Retribution - Mekboy Wargear DLC",285310
2382306,['Strategy'],Dawn of War II: Retribution – The Last Stand,285330
2382310,"['Adventure', 'Indie', 'RPG']",Winter Voices Episode 4: Amethyst Rivers,246840
2382313,['Simulation'],The Sims™ 3 Generations,247080
2382403,['Simulation'],Cities in Motion: Tokyo,258520
2382421,"['Action', 'Adventure']",Ghostbusters: Sanctum of Slime Challenge Pack DLC,323380
2382427,['Adventure'],Still Life 2,324080
2382430,"['Action', 'Free to Play']",A.V.A. Alliance of Valiant Arms™,344760
2383654,['Simulation'],Cities in Motion: Design Now,362620
2383655,"['Action', 'Casual', 'Indie']",Beat Hazard Ultra,391270
2383667,"['Action', 'RPG']",Magicka: Final Frontier,408740
2383668,['Strategy'],Ironclads: Chincha Islands War 1866,409160
2383720,"['Action', 'RPG']",Fallout New Vegas: Old World Blues,28000
2383740,"['Indie', 'Casual']",Lucid,12210
2388581,['Simulation'],Train Simulator: BR Class 421 '4CIG' Loco,12220
2388977,"['Adventure', 'Indie', 'RPG']",Runespell: Overture,91900
2388997,"['Action', 'Indie']",A.R.E.S.: Berzerker Suit,33930
